root,meaning_cn,meaning_en,examples,source
act,做；行动,"do, act","action, active, actor",old+addon
ag,做；驱动,"do, drive","agent, agenda",old+addon
anim,生命；精神,"life, spirit","animal, animation",old+addon
ann,年,year,"annual, anniversary",old+addon
anthrop,人类,human,anthropology,old+addon
audi,听,hear,"audio, audience",old+addon
auto,自己,self,"automatic, autobiography",old+addon
bio,生命,life,"biology, biography",old+addon
brev,短,short,"brief, abbreviate",old+addon
cap,拿；头,"take, head","capture, capital",old+addon
capt,拿；抓,"take, seize","capture, captive",old+addon
ced,走；让步,"go, yield","cede, precede",old+addon
cede,走；让步,"go, yield","precede, recede",old+addon
ceed,走,go,"proceed, exceed",old+addon
cess,走,go,"process, access",old+addon
chron,时间,time,"chronology, chronic",old+addon
cid,切；杀,"cut, kill","decide, homicide",old+addon
cise,切,cut,"incise, concise",old+addon
clam,喊,cry out,"exclaim, proclaim",old+addon
clar,清楚；明亮,"clear, bright","clear, clarify",old+addon
clud,关闭,shut,"include, exclude",old+addon
clus,关闭,shut,"conclusion, exclusive",old+addon
cogn,知道,know,"recognize, cognition",old+addon
cord,心,heart,"cordial, accord",old+addon
corp,身体,body,"corporation, corpse",old+addon
cred,相信,believe,"credit, credible",old+addon
cur,跑；流,run,"current, occur",old+addon
curr,跑；流,run,"current, curriculum",old+addon
cycl,圆；环,circle,"cycle, bicycle",old+addon
dem,人民,people,"democracy, epidemic",old+addon
dict,说,say,"dictate, predict",old+addon
duc,引导,lead,"produce, educate",old+addon
duct,引导,lead,"conduct, product",old+addon
fac,做,"make, do","factory, facilitate",old+addon
fact,做,"make, do","fact, manufacture",old+addon
fer,带来；承载,"carry, bring","transfer, refer",old+addon
fid,信任,"faith, trust","fidelity, confidence",old+addon
fin,结束；边界,"end, limit","final, define",old+addon
form,形状,shape,"form, reform",old+addon
fract,破,break,"fraction, fracture",old+addon
gen,生；产生,"birth, produce","generate, gene",old+addon
grad,步；级,"step, degree","grade, gradual",old+addon
graph,写；画,"write, draw","graph, photograph",old+addon
gress,走,"go, step","progress, regress",old+addon
ject,投；扔,throw,"project, reject",old+addon
jud,判断,judge,"judge, judicial",old+addon
jur,法律；誓言,"law, oath","jury, jurisdiction",old+addon
leg,法律；读；派遣,"law, read, send","legal, legend",old+addon
log,言；理；学,"word, reason, study","logic, biology",old+addon
luc,光,light,"lucid, translucent",old+addon
magn,大,great,"magnify, magnificent",old+addon
man,手,hand,"manual, manage",old+addon
manu,手,hand,"manual, manufacture",old+addon
mater,母；材料,"mother, matter","maternal, material",old+addon
memor,记忆,memory,"memory, memorial",old+addon
micro,小,small,"microphone, microscope",old+addon
miss,送,send,"mission, dismiss",old+addon
mit,送,send,"submit, transmit",old+addon
mob,动,move,"mobile, automobile",old+addon
mot,动,move,"motion, promote",old+addon
mov,动,move,"move, remove",old+addon
nat,生,birth,"native, natural",old+addon
nom,名；法则,"name, rule","nominate, astronomy",old+addon
nov,新,new,"novel, innovate",old+addon
onym,名,name,"synonym, anonymous",old+addon
path,感情；疾病,"feeling, disease","sympathy, pathology",old+addon
ped,脚；儿童,"foot, child","pedal, pediatric",old+addon
pend,悬挂,hang,"depend, suspend",old+addon
phon,声音,sound,"phone, phonetic",old+addon
photo,光,light,"photo, photograph",old+addon
port,携带,carry,"transport, import",old+addon
pos,放置,"put, place","position, compose",old+addon
press,压,press,"pressure, compress",old+addon
rupt,破裂,break,"rupture, interrupt",old+addon
scrib,写,write,"describe, scribble",old+addon
script,写,write,"script, manuscript",old+addon
sect,切,cut,"section, dissect",old+addon
sens,感觉,feel,"sense, sensitive",old+addon
sent,感觉；送,"feel, send","sentiment, consent",old+addon
serv,服务；保存,"serve, keep","service, preserve",old+addon
sign,标记,"mark, sign","signal, design",old+addon
spec,看,"look, see","inspect, specification",old+addon
spect,看,"look, see","respect, spectator",old+addon
spir,呼吸,breathe,"spirit, inspire",old+addon
stat,站；状态,stand,"state, station",old+addon
struct,建造,build,"structure, construct",old+addon
tain,持有,hold,"contain, retain",old+addon
tect,覆盖；建造,"cover, build","protect, architecture",old+addon
temp,时间,time,"temporary, contemporary",old+addon
term,边界；期限,"limit, end","term, terminal",old+addon
tract,拉,"draw, pull","attract, subtract",old+addon
ven,来,come,"event, convenient",old+addon
vert,转,turn,"convert, reverse",old+addon
vid,看,see,"video, evidence",old+addon
vis,看,see,"vision, visible",old+addon
voc,声音；叫,"voice, call","vocal, vocabulary",old+addon
vol,意志；卷；飞,"will, roll, fly","voluntary, volume",old+addon
