id,word,story
000001,a,> A little ant was very hungry. It found a big apple and was so happy. The \'a\' in \'ant\' and \'apple\' shows that \'a\' can start many words. **一只小蚂蚁非常饿。它发现了一个大苹果，非常高兴。'ant（蚂蚁）'和'apple（苹果）'中的'a'表明'a'可以开启很多单词。**
000002,aback,> 有一天，小明在海上划船。突然，一阵狂风袭来，把他打得 aback 。他完全没有料到，被这股力量弄得措手不及。后来他才明白，aback 就是表示吃惊、吓一跳。 **有一天小明划船被狂风袭击，让他感到吃惊、措手不及，以此来记住 aback 表示吃惊、吓一跳的意思。**
000003,abandon,"> A man was on a ship. When a big storm came, he felt scared and decided to abandon the ship. But later he regretted it. Remember, abandon means to give up or leave something. **一个男人在一艘船上。当一场大风暴来临，他感到害怕并决定抛弃这艘船。但后来他后悔了。记住，abandon 意思是放弃或离开某物。**"
000004,abandoned,"> A man was lost in a dark forest. He felt abandoned by the world. No one came to help him. But finally, he found his way out and never let himself be in such a hopeless situation again. **一个男人在黑暗的森林里迷路了。他感觉被世界抛弃了。没人来帮他。但最后，他找到了出路，再也不让自己处于这样绝望的境地。**"
000005,abandonment,"> A man was lost in a desert. He felt a sense of abandonment as his companions left him alone. With no hope in sight, he struggled to survive. Eventually, he was rescued, but the feeling of abandonment stayed with him. **一个男人在沙漠中迷路了。他的同伴丢下他独自离开，他感到被遗弃。看不到希望的他努力求生。最终，他获救了，但被遗弃的感觉却一直伴随着他。**"
000006,abate,"> A king was very angry when his army lost the battle. But as time passed, his anger abated. He realized that mistakes could be corrected and they could fight again. So, abate means to become less in degree or intensity. **一位国王在他的军队战败时非常生气。但随着时间的推移，他的愤怒减轻了。他意识到错误可以改正，他们可以再次战斗。所以，abate 意思是在程度或强度上减少。**"
000007,abatement,"> A factory was causing a lot of pollution. But then, they took measures for abatement. They installed new filters and changed processes, which led to a reduction in the pollution. So, abatement means a reduction or lessening. **一家工厂造成了大量污染。但后来，他们采取了减排措施。他们安装了新的过滤器并改变了工艺流程，这导致污染减少了。所以，abatement 意思是减少、减轻。**"
000008,abbreviated,> A long word was running in a race but it was too tired. So it cut off some parts and became abbreviated. Now it could move faster and finish the race easily! **一个很长的单词在赛跑，但它太累了。所以它切掉了一些部分，变成了缩写形式。现在它能跑得更快，轻松完成比赛！**
000009,abdicate,> 从前有个国王，面对国家的重重困难，他感到无力承担责任，最终选择放弃王位，也就是 abdicate 了王位。这个国王的行为让人们感到惊讶和失望。 **从前有个国王，面对国家的重重困难，他感到无力承担责任，最终选择放弃王位，也就是放弃、退位了。这个国王的行为让人们感到惊讶和失望。**
000010,abdomen,"> A doctor was examining a patient\'s abdomen. He gently touched and said, \'This part from your chest to your pelvis is called abdomen.\' The patient understood easily. **一位医生正在检查病人的腹部。他轻轻地触摸并说：""从你的胸部到骨盆的这部分叫做腹部。""病人很容易就理解了。**"
000011,abdominal,> 想象一下，一个勇敢的冒险家在探索神秘洞穴时，不小心撞到了腹部（abdominal）。他捂着肚子，痛苦地呻吟着。这个部位对他的行动造成了很大影响，让他意识到保护腹部的重要性。 **想象一个冒险家撞到腹部，意识到保护腹部的重要性，以此记住 abdominal 表示腹部的**
000012,abduct,"> A bad guy in a dark alley suddenly appeared and abduct ed a little girl. The police were called immediately to rescue her. Remember, \'abduct\' means to take someone away by force. **一个坏人在黑暗的小巷里突然出现并绑架了一个小女孩。警察立即被叫来营救她。记住，\'abduct\'意思是强行带走某人。**"
000013,abduction,"> One night, a mysterious figure appeared and performed an abduction. A girl was taken away from her home. The police later found out that it was a criminal act of kidnapping. Remember, abduction means kidnapping. **一天晚上，一个神秘的身影出现并实施了绑架。一个女孩被从家中带走。后来警方发现这是一起绑架的犯罪行为。记住，abduction 意思是绑架。**"
000014,aberration,"> A scientist was studying stars. One night, he saw a strange light that was an aberration. It was not normal, like a lost sheep in a flock. This oddity made him curious and he spent days trying to understand it. **一位科学家正在研究星星。一天晚上，他看到了一道奇怪的光，这是一种偏差。它不正常，就像羊群里走失的羊。这个异常现象让他很好奇，他花了好几天试图去理解它。**"
