root,meaning_cn,meaning_en,examples,source
act,做；行动,"do, act","action, active, actor",addon
ag,做；驱动,"do, drive","agent, agenda",addon
anim,生命；精神,"life, spirit","animal, animation",addon
ann,年,year,"annual, anniversary",addon
anthrop,人类,human,anthropology,addon
audi,听,hear,"audio, audience",addon
auto,自己,self,"automatic, autobiography",addon
bio,生命,life,"biology, biography",addon
brev,短,short,"brief, abbreviate",addon
cap,拿；头,"take, head","capture, capital",addon
capt,拿；抓,"take, seize","capture, captive",addon
ced,走；让步,"go, yield","cede, precede",addon
cede,走；让步,"go, yield","precede, recede",addon
ceed,走,go,"proceed, exceed",addon
cess,走,go,"process, access",addon
chron,时间,time,"chronology, chronic",addon
cid,切；杀,"cut, kill","decide, homicide",addon
cise,切,cut,"incise, concise",addon
clam,喊,cry out,"exclaim, proclaim",addon
clar,清楚；明亮,"clear, bright","clear, clarify",addon
clud,关闭,shut,"include, exclude",addon
clus,关闭,shut,"conclusion, exclusive",addon
cogn,知道,know,"recognize, cognition",addon
cord,心,heart,"cordial, accord",addon
corp,身体,body,"corporation, corpse",addon
cred,相信,believe,"credit, credible",addon
cur,跑；流,run,"current, occur",addon
curr,跑；流,run,"current, curriculum",addon
cycl,圆；环,circle,"cycle, bicycle",addon
dem,人民,people,"democracy, epidemic",addon
dict,说,say,"dictate, predict",addon
duc,引导,lead,"produce, educate",addon
duct,引导,lead,"conduct, product",addon
fac,做,"make, do","factory, facilitate",addon
fact,做,"make, do","fact, manufacture",addon
fer,带来；承载,"carry, bring","transfer, refer",addon
fid,信任,"faith, trust","fidelity, confidence",addon
fin,结束；边界,"end, limit","final, define",addon
form,形状,shape,"form, reform",addon
fract,破,break,"fraction, fracture",addon
gen,生；产生,"birth, produce","generate, gene",addon
grad,步；级,"step, degree","grade, gradual",addon
graph,写；画,"write, draw","graph, photograph",addon
gress,走,"go, step","progress, regress",addon
ject,投；扔,throw,"project, reject",addon
jud,判断,judge,"judge, judicial",addon
jur,法律；誓言,"law, oath","jury, jurisdiction",addon
leg,法律；读；派遣,"law, read, send","legal, legend",addon
log,言；理；学,"word, reason, study","logic, biology",addon
luc,光,light,"lucid, translucent",addon
magn,大,great,"magnify, magnificent",addon
man,手,hand,"manual, manage",addon
manu,手,hand,"manual, manufacture",addon
mater,母；材料,"mother, matter","maternal, material",addon
memor,记忆,memory,"memory, memorial",addon
micro,小,small,"microphone, microscope",addon
mit,送,send,"submit, transmit",addon
miss,送,send,"mission, dismiss",addon
mob,动,move,"mobile, automobile",addon
mot,动,move,"motion, promote",addon
mov,动,move,"move, remove",addon
nat,生,birth,"native, natural",addon
nom,名；法则,"name, rule","nominate, astronomy",addon
nov,新,new,"novel, innovate",addon
onym,名,name,"synonym, anonymous",addon
path,感情；疾病,"feeling, disease","sympathy, pathology",addon
ped,脚；儿童,"foot, child","pedal, pediatric",addon
pend,悬挂,hang,"depend, suspend",addon
phon,声音,sound,"phone, phonetic",addon
photo,光,light,"photo, photograph",addon
port,携带,carry,"transport, import",addon
pos,放置,"put, place","position, compose",addon
press,压,press,"pressure, compress",addon
rupt,破裂,break,"rupture, interrupt",addon
scrib,写,write,"describe, scribble",addon
script,写,write,"script, manuscript",addon
sect,切,cut,"section, dissect",addon
sens,感觉,feel,"sense, sensitive",addon
sent,感觉；送,"feel, send","sentiment, consent",addon
serv,服务；保存,"serve, keep","service, preserve",addon
sign,标记,"mark, sign","signal, design",addon
spec,看,"look, see","inspect, specification",addon
spect,看,"look, see","respect, spectator",addon
spir,呼吸,breathe,"spirit, inspire",addon
stat,站；状态,stand,"state, station",addon
struct,建造,build,"structure, construct",addon
tain,持有,hold,"contain, retain",addon
tect,覆盖；建造,"cover, build","protect, architecture",addon
temp,时间,time,"temporary, contemporary",addon
term,边界；期限,"limit, end","term, terminal",addon
tract,拉,"draw, pull","attract, subtract",addon
ven,来,come,"event, convenient",addon
vert,转,turn,"convert, reverse",addon
vid,看,see,"video, evidence",addon
vis,看,see,"vision, visible",addon
voc,声音；叫,"voice, call","vocal, vocabulary",addon
vol,意志；卷；飞,"will, roll, fly","voluntary, volume",addon
