id,word,example_no,sentence,translation,word_meaning
000001,a,1,I have a book.,我有一本书。,一（个）
000001,a,2,He is a doctor.,他是一名医生。,一（名）
000001,a,3,It\'s a beautiful day.,这是美好的一天。,一（个）
000002,aback,1,She was taken aback by his sudden anger.,她被他突然的愤怒吓了一跳。,吓一跳；大吃一惊
000002,aback,2,The news took me aback.,这消息使我大吃一惊。,使吃惊；使吓一跳
000002,aback,3,He was aback when he saw the huge bill.,当他看到巨额账单时，他大吃一惊。,吃惊；惊愕
000003,abandon,1,He abandoned his car in the desert.,他把他的车丢弃在了沙漠里。,丢弃；遗弃
000003,abandon,2,The project was abandoned due to lack of funds.,这个项目因缺乏资金而被放弃了。,放弃
000003,abandon,3,She abandoned herself to grief after her husband\'s death.,她在丈夫死后陷入了极度的悲伤之中。,陷入；沉湎于
000004,abandoned,1,The abandoned house looked creepy at night.,这座被遗弃的房子在晚上看起来很阴森。,被遗弃的
000004,abandoned,2,She felt abandoned by her friends when they didn\'t invite her to the party.,当朋友们没有邀请她参加聚会时，她感觉被抛弃了。,被抛弃的
000004,abandoned,3,The abandoned car was rusting in the parking lot.,那辆被废弃的汽车在停车场里生锈了。,被废弃的
000005,abandonment,1,The abandonment of the project was a huge disappointment.,这个项目的放弃是一个巨大的失望。,放弃
000005,abandonment,2,She felt a sense of abandonment after her parents\' divorce.,她在父母离婚后感到一种被遗弃的感觉。,遗弃
000005,abandonment,3,The old house showed signs of abandonment and neglect.,这座老房子显示出被遗弃和忽视的迹象。,遗弃；忽视
000006,abate,1,The storm began to abate after several hours.,风暴在几个小时后开始减弱。,减弱；减轻
000006,abate,2,The pain in my head gradually abated.,我头部的疼痛逐渐减轻了。,减轻；缓和
000006,abate,3,The government\'s efforts to abate pollution have shown some results.,政府减轻污染的努力已经显示出一些成果。,减少；降低
000007,abatement,1,The abatement of pollution is a top priority for the government.,污染的减轻是政府的首要任务。,减轻；减少
000007,abatement,2,There has been a significant abatement in crime rates in this area.,这个地区的犯罪率有了显著的降低。,降低；减少
000007,abatement,3,The abatement of noise from the factory was welcomed by the residents.,工厂噪音的减轻受到了居民的欢迎。,减轻；减弱
000008,abbreviated,1,The word \'abbreviation\' is often abbreviated to \'abbr.\',单词 \'abbreviation\' 经常被缩写为 \'abbr.\',缩写
000008,abbreviated,2,The report was presented in an abbreviated form to save time.,为了节省时间，这份报告以简略的形式呈现。,简略的
000008,abbreviated,3,His name was abbreviated to just the initials on the document.,他的名字在文件上被缩写成了首字母。,缩短；简化
000009,abdicate,1,The king abdicated the throne and went into exile.,国王退位并流亡。,放弃（王位）
000009,abdicate,2,He abdicated his responsibility as a father.,他放弃了作为父亲的责任。,放弃（职责）
000009,abdicate,3,The company\'s CEO abdicated his position due to health reasons.,公司的首席执行官因健康原因放弃了职位。,放弃（职位）
000010,abdomen,1,The doctor examined the patient\'s abdomen carefully.,医生仔细地检查了病人的腹部。,腹部
000010,abdomen,2,She felt a sharp pain in her abdomen after eating too much.,她吃太多后感到腹部一阵剧痛。,腹部
000010,abdomen,3,The pregnant woman gently rubbed her expanding abdomen.,这位孕妇轻轻地揉着她不断变大的腹部。,腹部
000011,abdominal,1,He has severe abdominal pain.,他有严重的腹痛。,腹部的
000011,abdominal,2,The doctor examined her abdominal muscles.,医生检查了她的腹部肌肉。,腹部的
000011,abdominal,3,Abdominal surgery is a major operation.,腹部手术是一个大手术。,腹部的
000012,abduct,1,The criminal attempted to abduct the child from the playground.,罪犯企图从操场上绑架那个孩子。,绑架
000012,abduct,2,She claimed she was abducted by aliens.,她声称自己被外星人劫持了。,劫持；诱拐
000012,abduct,3,The police are working hard to rescue the woman who was abducted last night.,警方正在努力营救昨晚被绑架的女子。,绑架；劫持
000013,abduction,1,The abduction of the child caused widespread panic in the community.,孩子的绑架案在社区引起了广泛的恐慌。,绑架
000013,abduction,2,The detective was assigned to investigate the abduction case.,这位侦探被指派调查这起绑架案。,绑架
000013,abduction,3,The movie was about a daring abduction and the subsequent rescue mission.,这部电影是关于一次大胆的绑架和随后的营救任务。,绑架
000014,aberration,1,The aberration in his behavior was noticed by everyone.,他行为上的失常被每个人都注意到了。,失常；偏差
000014,aberration,2,This optical aberration affects the quality of the image.,这种光学像差影响了图像的质量。,像差；偏差
000014,aberration,3,The recent crime wave was seen as an aberration from the usual peace of the town.,最近的犯罪浪潮被视为这个城镇往常平静状态的一种反常现象。,反常现象
000015,abet,1,He was accused of abetting the thief in the robbery.,他被指控在这次抢劫中教唆那个小偷。,教唆；煽动；帮助
000015,abet,2,The gang leader was found guilty of abetting the murder.,这个犯罪团伙的头目被认定犯有教唆谋杀罪。,教唆；怂恿
000015,abet,3,She was punished for abetting her friend\'s escape from prison.,她因协助她朋友越狱而受到惩罚。,协助；支持
000016,abhor,1,I abhor violence of any kind.,我憎恶任何形式的暴力。,憎恶
000016,abhor,2,She abhors the idea of cheating in exams.,她痛恨考试作弊的想法。,痛恨
000016,abhor,3,He abhors people who are cruel to animals.,他厌恶对动物残忍的人。,厌恶
000017,abide,1,I can\'t abide people who are cruel to animals.,我无法容忍对动物残忍的人。,容忍；忍受
000017,abide,2,You must abide by the rules of the game.,你必须遵守游戏规则。,遵守；遵循
000017,abide,3,She couldn\'t abide waiting in queues.,她无法忍受排队等候。,忍受；忍耐
000018,abiding,1,Her abiding love for her family never wavered.,她对家人持久的爱从未动摇。,持久的；长久的
000018,abiding,2,He has an abiding interest in music.,他对音乐有着持久的兴趣。,持久的；长久的
000018,abiding,3,The abiding memory of that day still haunts me.,那天的永恒记忆仍然萦绕在我心头。,永恒的；持久不变的
000019,ability,1,She has the ability to speak several languages fluently.,她有流利说几种语言的能力。,能力
000019,ability,2,His ability to solve complex problems is remarkable.,他解决复杂问题的能力很出色。,能力
000019,ability,3,The test is designed to assess students\' reading ability.,这个测试旨在评估学生的阅读能力。,能力
000020,abject,1,He lived in abject poverty.,他过着赤贫的生活。,凄惨的；糟透的；卑鄙的；（境况）凄惨的
000020,abject,2,The refugees were in an abject condition.,难民们处于悲惨的境地。,悲惨的；可怜的
000020,abject,3,His failure was abject.,他的失败是彻底的。,彻底的；完全的
000021,ablaze,1,"The building was ablaze, sending smoke billowing into the sky.",这座建筑着火了，浓烟滚滚冲向天空。,着火的；闪耀的
000021,ablaze,2,The garden was ablaze with color as the flowers bloomed.,花园里鲜花盛开，色彩绚烂。,闪耀的；灿烂的
000021,ablaze,3,His face was ablaze with excitement when he heard the news.,当他听到这个消息时，脸上充满了兴奋的神情。,充满（某种强烈的感情）
000022,able,1,She is able to speak three languages fluently.,她能够流利地说三种语言。,能够；有能力
000022,able,2,The new software is able to handle large amounts of data.,这个新软件能够处理大量的数据。,能够；有能力
000022,able,3,He is an able leader who inspires confidence.,他是一位有能力的领导者，能激发信心。,有能力的；能干的
000023,abnormal,1,"The weather this year has been abnormal, with extreme heat and heavy rainfall.",今年的天气一直不正常，有极端的高温和强降雨。,不正常的；反常的
000023,abnormal,2,His abnormal behavior at the party raised concerns among his friends.,他在聚会上的反常行为引起了朋友们的担忧。,反常的；异常的
000023,abnormal,3,The doctor conducted tests to determine the cause of her abnormal heart rate.,医生进行了检查以确定她不正常的心率的原因。,不正常的；异常的
000024,abnormality,1,The doctor detected an abnormality in the patient\'s brain scan.,医生在病人的脑部扫描中发现了一处异常。,异常；反常；不正常
000024,abnormality,2,Genetic abnormalities can cause various diseases.,基因异常会导致各种疾病。,异常情况；畸形
000024,abnormality,3,The abnormality in the weather pattern has led to extreme conditions.,天气模式的异常导致了极端状况。,反常现象
000025,aboard,1,We all went aboard the ship.,我们都登上了船。,在（船、飞机、火车等）上
000025,aboard,2,The passengers were waiting to board the plane when the announcement was made.,当通知发布时，乘客们正等着登机。,登上（飞机）
000025,aboard,3,They welcomed us aboard the train.,他们在火车上欢迎我们。,在（火车）上
000026,abolish,1,The government has decided to abolish the death penalty.,政府已决定废除死刑。,废除；废止
000026,abolish,2,Slavery was abolished in the United States in the 19th century.,美国在 19 世纪废除了奴隶制。,取消；革除
000026,abolish,3,They are fighting to abolish discrimination based on gender.,他们正在为废除基于性别的歧视而斗争。,消除；消灭
000027,abolition,1,The abolition of slavery was a significant event in history.,奴隶制的废除在历史上是一个重大事件。,废除；废止
000027,abolition,2,The abolition of the death penalty is a controversial topic.,死刑的废除是一个有争议的话题。,废除；废止
000027,abolition,3,The organization is dedicated to the abolition of child labor.,该组织致力于废除童工。,废除；废止
000028,abolitionist,1,The abolitionist fought tirelessly against slavery.,这位废奴主义者不知疲倦地与奴隶制作斗争。,废奴主义者
000028,abolitionist,2,She became a prominent abolitionist in the 19th century.,她在 19 世纪成为了一位杰出的废奴主义者。,废奴主义者
000028,abolitionist,3,The abolitionist\'s speeches inspired many to join the cause.,这位废奴主义者的演讲激励了许多人加入这项事业。,废奴主义者
000029,abomination,1,The use of chemical weapons is an abomination.,使用化学武器是一种令人憎恶的行为。,令人憎恶的事物
000029,abomination,2,He regarded the new law as an abomination that violated human rights.,他认为新法律是侵犯人权的可恶之事。,可恶之事
000029,abomination,3,The act of cruelty towards animals is an abomination in the eyes of many.,在许多人看来，对动物残忍的行为是令人深恶痛绝的。,深恶痛绝的事
000030,aboriginal,1,The aboriginal people have a rich cultural heritage.,原住民有着丰富的文化遗产。,原住民；土著居民
000030,aboriginal,2,This area is home to many aboriginal tribes.,这个地区是许多土著部落的家园。,土著的；原始的
000030,aboriginal,3,The aboriginal artworks are highly valued.,土著艺术品价值很高。,土著的；土生土长的
000031,abort,1,The mission was aborted due to bad weather.,由于恶劣天气，任务被中止了。,中止；放弃
000031,abort,2,She had to abort her attempt to climb the mountain when she got injured.,当她受伤时，她不得不放弃登山的尝试。,放弃
000031,abort,3,The doctor decided to abort the surgery because of unexpected complications.,由于意外的并发症，医生决定取消手术。,取消；终止
000032,abortion,1,She had to make the difficult decision of having an abortion.,她不得不做出艰难的决定去堕胎。,堕胎；人工流产
000032,abortion,2,The issue of abortion is highly controversial in many countries.,在许多国家，堕胎问题极具争议性。,堕胎
000032,abortion,3,The law strictly prohibits abortion except in certain circumstances.,法律严格禁止堕胎，除非在某些特定情况下。,堕胎
000033,abound,1,The forest abounds with wild animals.,这片森林里有很多野生动物。,充满，富于
000033,abound,2,Opportunities abound in this city for those who are willing to work hard.,在这个城市里，对于那些愿意努力工作的人来说，机会很多。,大量存在，充满
000033,abound,3,Stories abound about his generosity.,关于他慷慨大方的故事有很多。,大量存在，有许多
000034,about,1,I\'m thinking about going on a vacation.,我正在考虑去度假。,关于；考虑
000034,about,2,The book is about history.,这本书是关于历史的。,关于
000034,about,3,It\'s about five o\'clock.,大约五点钟了。,大约
000035,above,1,The temperature is above 30 degrees Celsius today.,今天的温度在 30 摄氏度以上。,超过，高于
000035,above,2,The airplane flew above the clouds.,飞机在云层之上飞行。,在\...\...之上
000035,above,3,Her performance was above average.,她的表现高于平均水平。,高于，超出
000036,abrasion,1,The abrasion on the surface of the metal was caused by constant friction.,金属表面的磨损是由持续的摩擦造成的。,磨损；擦伤
000036,abrasion,2,The doctor examined the abrasion on his knee.,医生检查了他膝盖上的擦伤。,擦伤；磨损处
000036,abrasion,3,The rock\'s abrasion made it smooth over time.,随着时间的推移，岩石的磨损使其变得光滑。,磨损；磨蚀
000037,abrasive,1,The abrasive material wore down the surface of the metal.,这种研磨材料磨损了金属的表面。,研磨的；磨损的
000037,abrasive,2,He has an abrasive personality and often offends others.,他性格粗鲁，经常冒犯别人。,粗鲁的；伤人感情的
000037,abrasive,3,The abrasive sandpaper is used to smooth the wood.,磨砂纸被用来打磨木头。,有研磨作用的
000038,abreast,1,The two friends walked abreast along the street.,这两个朋友并排沿着街道走。,并排
000038,abreast,2,She kept abreast of the latest fashion trends.,她一直了解最新的时尚潮流。,了解，跟上
000038,abreast,3,The runners stayed abreast for most of the race.,在大部分赛程中，赛跑者们并驾齐驱。,并排，并列
000039,abroad,1,He has never been abroad before.,他以前从未出过国。,在国外；到国外
000039,abroad,2,She is planning to study abroad next year.,她计划明年去国外学习。,到国外；在国外
000039,abroad,3,They often talk about their experiences abroad.,他们经常谈论在国外的经历。,在国外；到国外
000040,abrupt,1,The meeting came to an abrupt end.,会议突然结束了。,突然的
000040,abrupt,2,She has an abrupt manner.,她举止粗鲁。,粗鲁的；生硬的
000040,abrupt,3,The road makes an abrupt turn to the left.,这条路向左急转弯。,突然的；意外的
000041,abruptly,1,He abruptly left the room without saying a word.,他突然离开了房间，一句话也没说。,突然地
000041,abruptly,2,The meeting ended abruptly when the boss got angry.,当老板生气时，会议突然结束了。,突然地
000041,abruptly,3,She changed the topic abruptly and started talking about something else.,她突然改变了话题，开始谈论别的事情。,突然地
000042,abscess,1,The doctor drained the abscess to relieve the patient\'s pain.,医生排掉了脓肿以减轻病人的疼痛。,脓肿
000042,abscess,2,An abscess formed on his gum due to the infection.,由于感染，他的牙龈上长了一个脓肿。,脓肿
000042,abscess,3,The abscess was so large that it required immediate surgery.,这个脓肿太大了，需要立即手术。,脓肿
000043,absence,1,His absence from the meeting was noticed by everyone.,他缺席会议被大家注意到了。,缺席
000043,absence,2,"In the absence of clear evidence, the case remains unsolved.",在缺乏明确证据的情况下，这个案子仍未解决。,缺乏
000043,absence,3,The long absence of rain caused a drought.,长时间的无雨导致了干旱。,无，没有
