id,word,phrase,meaning
000001,a,a lot of,许多；大量
000001,a,a piece of,一块；一片；一张
000001,a,a cup of,一杯
000001,a,a pair of,一双；一对
000001,a,a set of,一套；一组
000002,aback,be taken aback,大吃一惊；惊得目瞪口呆
000002,aback,set aback,使挫折；使受阻碍
000002,aback,start aback,惊退；大吃一惊
000002,aback,come aback,回来；折回
000002,aback,turn aback,往回走；折回
000003,abandon,abandon oneself to,沉溺于；放纵
000003,abandon,with abandon,肆意地；放纵地
000003,abandon,abandon hope,放弃希望
000003,abandon,abandon ship,弃船
000003,abandon,abandon property,放弃财产
000004,abandoned,abandoned building,废弃的建筑物
000004,abandoned,abandoned car,废弃的汽车
000004,abandoned,abandoned child,被遗弃的孩子
000004,abandoned,abandoned land,荒地
000004,abandoned,abandoned project,被放弃的项目
000005,abandonment,risk of abandonment,被遗弃的风险
000005,abandonment,abandonment of property,财产的遗弃
000005,abandonment,abandonment of a project,项目的放弃
000005,abandonment,emotional abandonment,情感上的抛弃
000005,abandonment,abandonment of hope,放弃希望
000006,abate,abate a tax,减税
000006,abate,abate a nuisance,消除讨厌的东西；减少滋扰
000006,abate,abate the pain,减轻疼痛
000006,abate,abate the storm,减弱风暴
000006,abate,abate the price,降低价格
000007,abatement,abatement of pollution,污染的减轻
000007,abatement,abatement of noise,噪音的降低
000007,abatement,abatement of taxes,税收的减免
000007,abatement,abatement of debt,债务的减少
000007,abatement,abatement of pain,疼痛的减轻
000008,abbreviated,abbreviated form,缩写形式；简称
000008,abbreviated,abbreviated name,缩写名称；简称
000008,abbreviated,abbreviated version,简略版；缩写版
000008,abbreviated,abbreviated dictionary,简编词典
000008,abbreviated,abbreviated code,简码；缩写代码
000009,abdicate,abdicate responsibility,放弃责任
000009,abdicate,abdicate the throne,退位
000009,abdicate,abdicate power,放弃权力
000009,abdicate,abdicate one\'s position,放弃职位
000009,abdicate,abdicate claim,放弃要求
000010,abdomen,lower abdomen,下腹部
000010,abdomen,abdominal pain,腹痛
000010,abdomen,abdomen examination,腹部检查
000010,abdomen,muscles of the abdomen,腹部肌肉
000010,abdomen,flabby abdomen,松弛的腹部
000011,abdominal,abdominal pain,腹痛
000011,abdominal,abdominal muscle,腹肌
000011,abdominal,abdominal cavity,腹腔
000011,abdominal,abdominal distension,腹胀
000011,abdominal,abdominal breathing,腹式呼吸
000012,abduct,abduct someone,绑架某人
000012,abduct,be abducted,被绑架
000012,abduct,abduct illegally,非法绑架
000012,abduct,attempt to abduct,企图绑架
000012,abduct,abduct for ransom,为勒索赎金而绑架
000013,abduction,abduction attempt,绑架企图
000013,abduction,alien abduction,外星人绑架
000013,abduction,abduction case,绑架案件
000013,abduction,abduction crime,绑架罪行
000013,abduction,prevent abduction,防止绑架
000014,aberration,chromosomal aberration,染色体畸变
000014,aberration,aberration correction,像差校正
000014,aberration,optical aberration,光学像差
000014,aberration,geometric aberration,几何像差
000014,aberration,aberration of light,光行差
000015,abet,abet an offender,教唆罪犯
000015,abet,abet a crime,教唆犯罪
000015,abet,abet in crime,参与犯罪教唆
000015,abet,abet illegal activities,教唆非法活动
000015,abet,abet someone\'s wrongdoing,教唆某人的错误行为
000016,abhor,abhor violence,憎恶暴力
000016,abhor,abhor injustice,痛恨不公正
000016,abhor,abhor cruelty,厌恶残忍
000016,abhor,abhor lies,憎恶谎言
000016,abhor,abhor crime,痛恨犯罪
000017,abide,abide by,遵守；信守
000017,abide,abide with,和\...\...在一起；与\...\...同住
000017,abide,abide in,居住；停留于
000017,abide,cannot abide,无法忍受
000017,abide,abide at,在\...\...逗留
000018,abiding,abiding love,永恒的爱
000018,abiding,abiding friendship,持久的友谊
000018,abiding,abiding interest,持久的兴趣
000018,abiding,abiding memory,永恒的记忆
000018,abiding,abiding faith,坚定的信仰
000019,ability,ability to do sth,做某事的能力
000019,ability,natural ability,天赋；天生的才能
000019,ability,mental ability,智力；心理能力
000019,ability,leadership ability,领导能力
000019,ability,language ability,语言能力
000020,abject,abject poverty,赤贫
000020,abject,abject failure,惨败；彻底的失败
000020,abject,abject surrender,可耻的投降
000020,abject,abject apology,低声下气的道歉
000020,abject,abject fear,极度的恐惧
000021,ablaze,set ablaze,使燃烧；使着火
000021,ablaze,be ablaze with,闪耀着；充满着
000021,ablaze,come ablaze,突然燃烧起来
000021,ablaze,stand ablaze,熊熊燃烧；处于燃烧状态
000021,ablaze,ablaze with anger,怒火中烧
000022,able,be able to,能够；有能力
