id,word,pos,uk,us,meaning,file
000001,a,n.,ə; eɪ,ə; e,"n.(A)As 或 A\'s 安(ampere(a) art.一;n.字母A /[军] Analog.Digital,模拟/数字 /(=account of) 帐上",C:\GTT\EnglishDB\Words\a\a.md
000002,aback,adv.,ə\'bæk,ə\'bæk,adv.向后地,C:\GTT\EnglishDB\Words\a\aback.md
000003,abandon,vt.,ə\'bænd(ə)n,ə\'bændən,"vt.放弃,遗弃;n.放任,狂热",C:\GTT\EnglishDB\Words\a\abandon.md
000004,abandoned,adj.,ə\'bænd(ə)nd,ə\'bændənd,"adj.被抛弃的,自甘堕落的,没有约束的,放荡的",C:\GTT\EnglishDB\Words\a\abandoned.md
000005,abandonment,n.,ə\'bændənm(ə)nt,ə\'bændənmənt,n.放弃,C:\GTT\EnglishDB\Words\a\abandonment.md
000006,abate,vt.,ə\'beɪt,ə\'bet,"vt.使(数量、程度等)减少,减轻,除去,缓和,打折扣vi.(数量、程度等)减少,减轻,失效,缓和,(法令等)被废除",C:\GTT\EnglishDB\Words\a\abate.md
000007,abatement,n.,ə\'beɪtm(ə)nt,ə\'betmənt,n.消除,C:\GTT\EnglishDB\Words\a\abatement.md
000008,abbreviated,adj.,ə\'briːvɪeɪtɪd,"ə\'brivɪ,etɪd","adj.简短的,仅可蔽体的,小型的",C:\GTT\EnglishDB\Words\a\abbreviated.md
000009,abdicate,v.,\'æbdɪkeɪt,\'æbdɪket,"v.退位,放弃(职位,权力等)",C:\GTT\EnglishDB\Words\a\abdicate.md
000010,abdomen,n.,\'æbdəmən; æb\'dəʊmən,\'æbdəmən,"n.腹,腹部",C:\GTT\EnglishDB\Words\a\abdomen.md
000011,abdominal,adj.,æb\'dɒmɪn(ə)l,æb\'dɑmənl,adj.腹部的,C:\GTT\EnglishDB\Words\a\abdominal.md
000012,abduct,vt.,əb\'dʌkt,æb\'dʌkt,"vt.诱拐,绑架",C:\GTT\EnglishDB\Words\a\abduct.md
000013,abduction,n.,əb\'dʌkʃn,æb\'dʌkʃən,"n.诱拐,诱导",C:\GTT\EnglishDB\Words\a\abduction.md
000014,aberration,n.,",æbə\'reɪʃ(ə)n",\'æbə\'reʃən,n.失常,C:\GTT\EnglishDB\Words\a\aberration.md
000015,abet,vt.,ə\'bet,ə\'bɛt,"vt.教唆,煽动,帮助,支持",C:\GTT\EnglishDB\Words\a\abet.md
000016,abhor,vt.,əb\'hɔː,əb\'hɔr,"vt.憎恶,痛恨",C:\GTT\EnglishDB\Words\a\abhor.md
000017,abide,vi.,ə\'baɪd,ə\'baɪd,"vi.坚持,遵守;vt.忍受,容忍",C:\GTT\EnglishDB\Words\a\abide.md
000018,abiding,v.,ə\'baɪdɪŋ,ə\'baɪdɪŋ,v.容忍;adj.持久的,C:\GTT\EnglishDB\Words\a\abiding.md
000019,ability,n.,əˈbɪlətɪ,əˈbɪlətɪ,"n.能力,才干",C:\GTT\EnglishDB\Words\a\ability.md
000020,abject,adj.,\'æbdʒekt,\'æbdʒɛkt,"adj.卑鄙的,可怜的",C:\GTT\EnglishDB\Words\a\abject.md
000021,ablaze,adj.,ə\'bleɪz,ə\'blez,"adj.adv.着火的,激动的,闪耀的",C:\GTT\EnglishDB\Words\a\ablaze.md
000022,able,adj.,\'eɪb(ə)l,\'ebl,"adj.能\...的,有才能的,能干的,能够的",C:\GTT\EnglishDB\Words\a\able.md
000023,abnormal,adj.,æb\'nɔːml,æbˈnɔrməl,"adj.反常的,变态的",C:\GTT\EnglishDB\Words\a\abnormal.md
000024,abnormality,n.,æbnɔː\'mælɪtɪ; -nə\'mælɪtɪ,",æbnɔr\'mæləti","n.变态n.畸形,异常性",C:\GTT\EnglishDB\Words\a\abnormality.md
000025,aboard,adv.,ə\'bɔːd,ə\'bɔrd,"adv.在船(飞机、车)上,上船(飞机、车) prep.在(船、飞机、车)上,上(船、飞机、车)",C:\GTT\EnglishDB\Words\a\aboard.md
000026,abolish,vt.,ə\'bɒlɪʃ,ə\'bɑlɪʃ,"vt.废止,废除(法律、制度、习俗等)",C:\GTT\EnglishDB\Words\a\abolish.md
000027,abolition,n.,æbə\'lɪʃ(ə)n,",æbə\'lɪʃən","n.废除, 废除奴隶制度",C:\GTT\EnglishDB\Words\a\abolition.md
000028,abolitionist,n.,æbə\'lɪʃ(ə)nɪst,",æbə\'lɪʃənɪst","n.废除主义者,废奴主义者",C:\GTT\EnglishDB\Words\a\abolitionist.md
000029,abomination,n.,əbɒmɪ\'neɪʃ(ə)n,"ə,bɑmɪ\'neʃən","n.憎恨,厌恶,可憎的事物",C:\GTT\EnglishDB\Words\a\abomination.md
