Word,MD,PartIndex,Part,Type,Meaning
a,Words/a/a.md,1,a,word,
aback,Words/a/aback.md,1,aback,word,
abandon,Words/a/abandon.md,1,abandon,word,
abandoned,Words/a/abandoned.md,1,abandon,stem,
abandoned,Words/a/abandoned.md,2,ed,suffix,过去/形容词
abandonment,Words/a/abandonment.md,1,abandon,stem,
abandonment,Words/a/abandonment.md,2,ment,suffix,名词后缀
abate,Words/a/abate.md,1,abate,word,
abatement,Words/a/abatement.md,1,abate,stem,
abatement,Words/a/abatement.md,2,ment,suffix,名词后缀
abbreviated,Words/a/abbreviated.md,1,abbreviat,stem,
abbreviated,Words/a/abbreviated.md,2,ed,suffix,过去/形容词
abdicate,Words/a/abdicate.md,1,abdicate,word,
abdomen,Words/a/abdomen.md,1,abdomen,word,
abdominal,Words/a/abdominal.md,1,abdomin,stem,
abdominal,Words/a/abdominal.md,2,al,suffix,形容词/名词后缀
abduct,Words/a/abduct.md,1,duct,root,引导
abduction,Words/a/abduction.md,1,duc,root,引导
abduction,Words/a/abduction.md,2,tion,suffix,名词后缀
aberration,Words/a/aberration.md,1,aberr,stem,
aberration,Words/a/aberration.md,2,ation,suffix,名词后缀
abet,Words/a/abet.md,1,abet,word,
abhor,Words/a/abhor.md,1,abh,stem,
abhor,Words/a/abhor.md,2,or,suffix,人/物
abide,Words/a/abide.md,1,abide,word,
abiding,Words/a/abiding.md,1,abid,stem,
abiding,Words/a/abiding.md,2,ing,suffix,进行/名词
ability,Words/a/ability.md,1,abil,stem,
ability,Words/a/ability.md,2,ity,suffix,性质
abject,Words/a/abject.md,1,ject,root,投
ablaze,Words/a/ablaze.md,1,ablaze,word,
able-bodied,Words/a/able-bodied.md,1,able-bodi,stem,
able-bodied,Words/a/able-bodied.md,2,ed,suffix,过去/形容词
able,Words/a/able.md,1,able,word,
abnormal,Words/a/abnormal.md,1,abnorm,stem,
abnormal,Words/a/abnormal.md,2,al,suffix,形容词/名词后缀
abnormality,Words/a/abnormality.md,1,abnormal,stem,
abnormality,Words/a/abnormality.md,2,ity,suffix,性质
abnormally,Words/a/abnormally.md,1,abnormal,stem,
abnormally,Words/a/abnormally.md,2,ly,suffix,副词后缀
aboard,Words/a/aboard.md,1,aboard,word,
abolish,Words/a/abolish.md,1,abolish,word,
abolition,Words/a/abolition.md,1,aboli,stem,
abolition,Words/a/abolition.md,2,tion,suffix,名词后缀
abolitionist,Words/a/abolitionist.md,1,abolition,stem,
abolitionist,Words/a/abolitionist.md,2,ist,suffix,人
abomination,Words/a/abomination.md,1,abomin,stem,
abomination,Words/a/abomination.md,2,ation,suffix,名词后缀
aboriginal,Words/a/aboriginal.md,1,aborigin,stem,
aboriginal,Words/a/aboriginal.md,2,al,suffix,形容词/名词后缀
abort,Words/a/abort.md,1,abort,word,
abortion,Words/a/abortion.md,1,abor,stem,
abortion,Words/a/abortion.md,2,tion,suffix,名词后缀
abound,Words/a/abound.md,1,abound,word,
about,Words/a/about.md,1,about,word,
above-average,Words/a/above-average.md,1,above-average,word,
above,Words/a/above.md,1,above,word,
abrasion,Words/a/abrasion.md,1,abra,stem,
abrasion,Words/a/abrasion.md,2,sion,suffix,名词后缀
abrasive,Words/a/abrasive.md,1,abras,stem,
abrasive,Words/a/abrasive.md,2,ive,suffix,形容词后缀
abreast,Words/a/abreast.md,1,abreast,word,
abroad,Words/a/abroad.md,1,abroad,word,
abrupt,Words/a/abrupt.md,1,rupt,root,破
abruptly,Words/a/abruptly.md,1,rupt,root,破
abruptly,Words/a/abruptly.md,2,ly,suffix,副词后缀
abscess,Words/a/abscess.md,1,cess,root,走
absence,Words/a/absence.md,1,abs,stem,
absence,Words/a/absence.md,2,ence,suffix,名词后缀
absent,Words/a/absent.md,1,abs,stem,
absent,Words/a/absent.md,2,ent,suffix,人/物
absentee,Words/a/absentee.md,1,absentee,word,
absently,Words/a/absently.md,1,absent,stem,
absently,Words/a/absently.md,2,ly,suffix,副词后缀
absolute,Words/a/absolute.md,1,absolute,word,
absolutely,Words/a/absolutely.md,1,absolute,stem,
absolutely,Words/a/absolutely.md,2,ly,suffix,副词后缀
absolve,Words/a/absolve.md,1,absolve,word,
absorb,Words/a/absorb.md,1,absorb,word,
absorbing,Words/a/absorbing.md,1,absorb,stem,
absorbing,Words/a/absorbing.md,2,ing,suffix,进行/名词
absorption,Words/a/absorption.md,1,absorp,stem,
absorption,Words/a/absorption.md,2,tion,suffix,名词后缀
abstain,Words/a/abstain.md,1,abstain,word,
abstinence,Words/a/abstinence.md,1,abstin,stem,
abstinence,Words/a/abstinence.md,2,ence,suffix,名词后缀
abstract,Words/a/abstract.md,1,tract,root,拉
abstraction,Words/a/abstraction.md,1,abstrac,stem,
abstraction,Words/a/abstraction.md,2,tion,suffix,名词后缀
absurd,Words/a/absurd.md,1,absurd,word,
absurdity,Words/a/absurdity.md,1,absurd,stem,
absurdity,Words/a/absurdity.md,2,ity,suffix,性质
absurdly,Words/a/absurdly.md,1,absurd,stem,
absurdly,Words/a/absurdly.md,2,ly,suffix,副词后缀
